guten_bid,good_bid,title,author
1669,8890907,The Human Drift,Jack London
1671,8488268,When a Man Marries,Mary Roberts Rinehart
1672,14451219,Gorgias,Plato
1674,33912216,Narrative of Sojourner Truth,Sojourner Truth
1680,1248723,At The Sign Of The Cat And Racket,Honore de Balzac
1682,14458321,Menexenus,Plato
1683,551983,Honorine,Honore de Balzac
1685,5961556,The Mystery of the Yellow Room,Gaston Leroux
1686,2032127,The Secret of the Night,Gaston Leroux
1687,381185,Parmenides,Plato
1688,113249,The People of the Abyss,Jack London
1690,573380,Marie: An Episode in the Life of the Late Allan Quatermain,H. Rider Haggard
1693,2593123,Dangerous Days,Mary Roberts Rinehart
1698,6601281,The Survivors of the Chancellor,Jules Verne
1700,2673103,The Life of Charlotte Bronte: Volume 2,Elizabeth Gaskell
1701,6802540,The Story of Waitstill Baxter,Kate Douglas Wiggin
1702,9791995,Little Masterpieces of Autobiography; Actors,George Iles
1704,2366614,Pierrette,Honore de Balzac
1709,782519,New Grub Street,George Gissing
1710,19694516,La Grande Bretèche,Honore de Balzac
1711,1566990,Child Of Storm,H. Rider Haggard
1714,731699,Another Study of Woman,Honore de Balzac
1715,6862928,Eugenie Grandet,Honore de Balzac
1724,1566986,Finished,H. Rider Haggard
1725,16435679,Heart of the West,O. Henry
1726,27980190,Theatetus,Plato
1729,6350647,The Deserted Woman,Honore de Balzac
1732,1772133,The Schoolmaster and Other Stories,Anton Chekhov
1735,26995,Sophist,Plato
1737,10118019,Facino Cane,Honore de Balzac
1738,13430622,Statesman,Plato
1744,2769393,Philebus,Plato
1745,28884715,The Poetical Works of John Milton,John Milton
1749,576791,Cousin Bette,Honore de Balzac
1751,7653302,Twilight Land,Howard Pyle
1752,31503,El Dorado: Further Adventures of the Scarlet Pimpernel,Emmuska Orczy
1753,333418,Swan Song,Anton Chekhov
1754,18674890,The Sea-Gull,Anton Chekhov
1758,2187563,Marjorie Daw,Thomas Bailey Aldrich
1762,9068970,The Consul,Richard Harding Davis
1765,2529147,"Henry VI, Part 1",William Shakespeare
1771,6474770,Titus Andronicus,William Shakespeare
1780,1057759,"King Henry IV, part 1",William Shakespeare
1782,6645677,"King Henry IV, Part Two",William Shakespeare
1784,5740613,King Henry IV,William Shakespeare
1787,26165692,Hamlet,William Shakespeare
1790,187518,Troilus and Cressida,William Shakespeare
1793,177322,Othello,William Shakespeare
1794,528149,King Lear,William Shakespeare
1797,11929538,Coriolanus,William Shakespeare
1798,332510,Timon of Athens,William Shakespeare
1802,11422872,King Henry VIII,William Shakespeare
1805,7082910,The Gentle Grafter,O. Henry
1810,2311458,A Second Home,Honore de Balzac
1811,18719524,Massimilla Doni,Honore de Balzac
1813,2366417,A Man of Business,Honore de Balzac
1814,504061,The Agony Column,Earl Derr Biggers
1822,9098002,The Amateur,Richard Harding Davis
1825,752997,The Adventures of Reddy Fox,Thornton W. Burgess
1826,12103101,Sarrasine,Honore de Balzac
1827,2673100,"The Life of Charlotte Brontë, Volume 1",Elizabeth Gaskell
1831,9946659,The Lock and Key Library Classic Mystery and Detective Stories - Old Time English,Edward Bulwer-Lytton
1837,8626039,Prince and the Pauper,Mark Twain
1841,23289827,Z. Marcas,Honore de Balzac
1842,778965,Michael Strogoff: A Courier of the Czar,Jules Verne
1845,17834885,"Zuleika Dobson: Or, An Oxford Love Story",Max Beerbohm
1848,9588562,Montezuma's Daughter,H. Rider Haggard
1849,7184868,The Yellow Crayon,E. Phillips Oppenheim
1850,10328939,Old Christmas,Washington Irving
1851,3350289,The Woman in the Alcove,Anna Katharine Green
1854,6580562,Catherine De' Medici,Honore de Balzac
1856,25946,Cousin Pons,Honore de Balzac
1857,6246317,Initials Only,Anna Katharine Green
1858,34058,Plain Tales from the Hills,Rudyard Kipling
1862,135056,Tartarin of Tarascon,Alphonse Daudet
1868,10800069,Penelope's Postscripts,Kate Douglas Wiggin
1869,4535816,The Man in the Lower Ten,Mary Roberts Rinehart
1870,6404365,Reginald in Russia and Other Sketches,Saki
1871,2366377,The Deputy Of Arcis,Honore de Balzac
1873,9445817,Gambara,Honore de Balzac
1874,164531,The Railway Children,E. Nesbit
1876,18057408,The Shape of Fear,Elia W. Peattie
1880,882452,The Pathfinder: Or The Inland Sea,James Fenimore Cooper
1881,828299,The Call of the Canyon,Zane Grey
1892,6400379,"Extracts from Adam's Diary, translated from the original ms.",Mark Twain
1895,777108,Armadale,Wilkie Collins
1896,6264631,Under the Red Robe,Stanley J. Weyman
1897,7024640,The Seventh Man,Max Brand
1898,1248715,Albert Savarus,Honore de Balzac
1899,2328302,The Village Rector,Honore de Balzac
1900,22823158,Typee: A Romance of the South Seas,Herman Melville
1901,8123434,Secrets of the Woods,William Joseph Long
1902,2578540,The Old Peabody Pew: A Christmas Romance of a Country Church,Kate Douglas Wiggin
1904,12739910,Life And Perambulations Of A Mouse,Dorothy Kilner
1905,36402,"The Governess; or, The Little Female Academy",Sarah Fielding
1907,14288108,Rowdy of the Cross L,B.M. Bower
1908,6284126,Her Prairie Knight,B.M. Bower
1912,6472919,The Muse of the Department,Honore de Balzac
1917,8236943,The Queen Of Hearts,Wilkie Collins
1918,4340627,Long Odds,H. Rider Haggard
1921,267867,The Chouans,Honore de Balzac
1923,28095108,The Poisoned Pen,Arthur B. Reeve
1929,752981,The School for Scandal,Richard Brinsley Sheridan
1930,1075386,Penguin Island,Anatole France
1931,959843,The Zeppelin's Passenger,E. Phillips Oppenheim
1932,565508,Early Kings of Norway,Thomas Carlyle
1934,14582519,Songs of Innocence and Songs of Experience,William Blake
1937,128518,The Second Jungle Book,Rudyard Kipling
1938,25615732,Resurreción,Leo Tolstoy
1940,6350618,Christ in Flanders,Honore de Balzac
1941,1991721,Letters of Two Brides,Honore de Balzac
1942,2450622,Rise and Fall of Cesar Birotteau,Honore de Balzac
1943,7326221,Louis Lambert,Honore de Balzac
1944,1772150,The Witch and Other Stories,Anton Chekhov
1945,209366,Egmont,Johann Wolfgang von Goethe
1947,261754,Scaramouche a Romance of the French Revolution,Rafael Sabatini
1948,19138037,The Story of a Bad Boy,Thomas Bailey Aldrich
1949,8260741,On the Ruin of Britain,Gildas
1950,267910,A Woman Of Thirty,Honore de Balzac
1951,10132970,The Coming Race,Edward Bulwer-Lytton
1952,1042075,The Yellow Wallpaper,Charlotte Perkins Gilman
1954,850317,Colonel Chabert,Honore de Balzac
1956,519231,And Even Now,Max Beerbohm
1957,1149956,Beatrix,Honore de Balzac
1960,21526123,Sight Unseen,Mary Roberts Rinehart
1961,16074106,Books and Bookmen,Andrew Lang
1963,7461981,The Confession,Mary Roberts Rinehart
1965,10576675,Captain Blood,Rafael Sabatini
1966,3387907,The Path of the King,John Buchan
1969,6328870,Catherine: A Story,William Makepeace Thackeray
1970,18921326,A Poor Wise Man,Mary Roberts Rinehart
1973,19008911,"Tales of Troy: Ulysses, the sacker of cities",Andrew Lang
1975,10256576,The legacy of Cain,Wilkie Collins
1976,20372486,Peter Ruff and the Double-Four,E. Phillips Oppenheim
1977,7552036,Phaedra,Jean Racine
1983,905022,Monsieur Beaucaire,Booth Tarkington
1987,14327484,The Outlet,Andy Adams
1993,11487845,Told After Supper,Jerome K. Jerome
1994,6528115,Adventures Among Books,Andrew Lang
1996,150026,The Divine Comedy: Volume 2: Purgatorio,Dante Alighieri
1998,18682791,Thus Spake Zarathustra A book for all and none,Friedrich Nietzsche
1999,9806421,Crome Yellow,Aldous Huxley
2002,936052,Sonnets from the Portuguese,Elizabeth Barrett Browning
2004,19273036,Pigs is Pigs,Ellis Parker Butler
2006,20766502,A Fair Penitent,Wilkie Collins
2010,13131761,The Autobiography of Charles Darwin 1809-82,Charles Darwin
2011,2098210,Rudder Grange,Frank R. Stockton
2013,4476539,The Pit Prop Syndicate,Freeman Wills Crofts
2014,5378628,The Lodger,Marie Belloc Lowndes
2018,22113200,The Library,Andrew Lang
2019,22824116,The Bat,Mary Roberts Rinehart
2021,968762,Nostromo: A Tale of the Seaboard,Joseph Conrad
2024,2648144,Diary of a Pilgrimage,Jerome K. Jerome
2025,995746,My Lady Caprice,Jeffery Farnol
2027,10534290,Tartuffe Or The Hypocrite,Moliere
2028,21998340,The Yellow Claw,Sax Rohmer
2032,9005403,Martin Pippin in the Apple Orchard,Eleanor Farjeon
2037,1833991,Novel Notes,Jerome K. Jerome
2039,561719,Evangeline: A Tale of Acadie,Henry Wadsworth Longfellow
2040,1035331,Confessions of an English Opium Eater,Thomas de Quincey
2046,247960,"Clotel: or, The President's Daughter",William Wells Brown
2048,18990658,The Sketch-Book of Geoffrey Crayon,Washington Irving
2049,483446,"Liber Amoris, Or, The New Pygmalion",William Hazlitt
2053,10398146,"The American Republic: Constitution, Tendencies and Destiny",Orestes Augustus Brownson
2055,34828653,Two Years Before the Mast,Richard Henry Dana Jr.
2057,1580793,The Last of the Plainsmen,Zane Grey
2059,826968,The Little Shepherd of Kingdom Come,John Fox Jr.
2061,2167811,Shorter Prose Pieces,Oscar Wilde
2064,19179382,Journey to the Western Islands of Scotland,Samuel Johnson
2066,23785623,Wildfire,Zane Grey
2067,30719105,"Beasts, Men and Gods",Ferdinand Ossendowski
2070,121216,To the Last Man,Zane Grey
2075,2778207,Crotchet Castle,Thomas Love Peacock
2076,19228377,The Civilization of China,Herbert Allen Giles
2077,1299466,The Nabob,Alphonse Daudet
2081,825881,The Blithedale Romance,Nathaniel Hawthorne
2083,10482689,In Search of the Castaways; or the Children of Captain Grant,Jules Verne
2084,16170884,The Way of All Flesh,Samuel Butler
2085,20087887,Cyropaedia: The Education of Cyrus,Xenophon
2096,7663118,A Smaller History of Greece: From the Earliest times to the Roman Conquest,William Smith
2097,6508680,The Sign of the Four,Arthur Conan Doyle
2123,1303933,The Crime of Sylvestre Bonnard,Anatole France
2126,18137837,The Quest of the Sacred Slipper,Sax Rohmer
2127,1736770,Paul and Virginia,Jacques-Henri Bernardin de Saint-Pierre
2131,5656839,An Account of Egypt,Herodotus
2132,2983752,The Daughter of an Empress,Luise Muhlbach
2145,6377684,Ben-Hur: A Tale of the Christ,Lew Wallace
2148,8862670,"The Works of Edgar Allan Poe, Volume II",Edgar Allan Poe
2149,8158031,"The Works of Edgar Allan Poe, Volume 3",Edgar Allan Poe
2150,8158032,"The Works of Edgar Allan Poe, Volume 4",Edgar Allan Poe
2151,17406596,"The Works of Edgar Allan Poe, Volume 5",Edgar Allan Poe
2153,6225658,Mary Barton,Elizabeth Gaskell
2156,2232077,China and the Manchus,Herbert Allen Giles
2158,4753877,The Prime Minister,Anthony Trollope
2159,279451,A Little Tour in France,Henry James
2160,11904514,The Expedition of Humphrey Clinker,Tobias Smollett
2162,18898921,Anarchism and Other Essays,Emma Goldman
2163,11382421,The Bridge Builders,Rudyard Kipling
2165,1157778,The Lifted Veil,George Eliot
2166,22742765,She/King Solomon's Mines,H. Rider Haggard
2171,1835441,Brother Jacob,George Eliot
2172,3370988,That Mainwaring Affair,Anna Maynard Barbour
2175,791610,You Never Can Tell,George Bernard Shaw
2183,21445212,Three Men on the Bummel,Jerome K. Jerome
2184,8542787,Unbeaten Tracks in Japan,Isabella L. Bird
2192,1517080,The Dark Flower,John Galsworthy
2194,2444144,Mauprat,George Sand
2196,1320874,An Iceland Fisherman,Pierre Loti
2197,8196232,The Gambler,Fyodor Dostoyevsky
2199,516650,The Iliad,Homer
2226,7714037,Kim,Rudyard Kipling
2231,6240610,All Roads Lead to Calvary,Jerome K. Jerome
2232,1184672,The Duchess of Malfi,John Webster
2250,26080590,Richard III,William Shakespeare
2251,903467,"Henry IV, Part One",William Shakespeare
2253,8569551,Henry V,William Shakespeare
2255,424915,"Henry VI, Part 2",William Shakespeare
2256,3661922,"Henry VI, Part 3",William Shakespeare
2258,10112,Henry VIII,William Shakespeare
2274,426494,How to Live on 24 Hours a Day,Arnold Bennett
2275,26238183,"The Pioneers: Or, The Sources of the Susquehanna",James Fenimore Cooper
2276,1504063,The Private Memoirs and Confessions of a Justified Sinner,James Hogg
2282,993298,Tales for Fifteen or Imagination and Heart,James Fenimore Cooper
2284,11206034,Animal Heroes,Ernest Thompson Seton
2289,7025594,Rosmersholm,Henrik Ibsen
2290,6810951,Twenty-Two Goblins,Arthur W. Ryder
2291,3463054,David Elginbrod,George MacDonald
2296,749017,Pillars of Society,Henrik Ibsen
2297,18072000,Snowbound at Eagle's,Bret Harte
2298,22086803,Great Astronomers,Robert Stawell Ball
2299,6888910,Pandora,Henry James
2300,1080597,"The Descent of Man, and Selection in Relation to Sex",Charles Darwin
2302,3841137,Poor Folk,Fyodor Dostoyevsky
2305,22708469,A Set of Six,Joseph Conrad
2306,223633,Uncle Remus: His Songs and His Sayings,Joel Chandler Harris
2316,22758477,The Choir Invisible,James Lane Allen
2323,264870,The Recollections and Letters of General Robert E. Lee,Robert E. Lee
2326,6235352,His Own People,Booth Tarkington
2329,1498008,Autobiography of a Pocket Handkerchief,James Fenimore Cooper
2330,19420538,Religions of Ancient China,Herbert Allen Giles
2334,6352715,The Works of Rudyard Kipling - One Volume Edition,Rudyard Kipling
2343,5967933,The Adventure of Wisteria Lodge,Arthur Conan Doyle
2344,8354617,The Adventure Of The Cardboard Box,Arthur Conan Doyle
2345,6408236,The Adventure of the Red Circle,Arthur Conan Doyle
2346,18824231,The Adventure of the Bruce-Partington Plans,Arthur Conan Doyle
2347,19438473,The Adventure of the Dying Detective,Arthur Conan Doyle
2348,18873507,The Disappearance of Lady Frances Carfax,Arthur Conan Doyle
2349,8431710,The Adventure of the Devil's Foot,Arthur Conan Doyle
2351,1892249,"John Halifax, Gentleman",Dinah Maria Mulock Craik
2353,1641223,Tea-Table Talk,Jerome K. Jerome
2355,1590549,The Formation of Vegetable Mould Through the Action of Worms with Observations on Their Habits,Charles Darwin
2358,31229946,The After House,Mary Roberts Rinehart
2360,3600680,The Riddle of the Sands,Erskine Childers
2364,11552714,Active Service,Stephen Crane
2365,19255805,The Princess De Montpensier,Madame de La Fayette
2366,8452706,The Beldonald Holbein,Henry James
2369,3607465,One of Ours,Willa Cather
2371,762823,The Filigree Ball: Being a Full and True Account of the Solution of the Mystery Concerning the Jeffrey-Moore Affair,Anna Katharine Green
2372,2597562,The Woman-Haters,Joseph Crosby Lincoln
2376,34082197,Up from Slavery: An Autobiography,Booker T. Washington
2377,11130169,The Son of the Wolf,Jack London
2381,3170797,Actions and Reactions,Rudyard Kipling
2383,11053838,"The Canterbury Tales, and Other Poems",Geoffrey Chaucer
2391,15945735,Bruce,Peter Ames Carlin
2392,9160097,Further Adventures of Lad,Albert Payson Terhune
2393,9160095,His Dog,Albert Payson Terhune
2395,208958,The Golden Fleece and the Heroes Who Lived Before Achilles,Padraic Colum
2398,640091,The Renaissance: Studies in Art and Poetry,Walter Pater
2412,2324975,The Categories,Aristotle
2413,18769191,Madam Bovery,Gustave Flaubert
2415,4498631,The Mutiny Of The Elsinore,Jack London
2416,22690144,The House of Pride: and Other Tales of Hawaii,Jack London
2417,12145163,Okewood of the Secret Service,Valentine Williams
2421,752856,The Beggar's Opera,John Gay
2424,7663221,Black Bartlemy's Treasure,Jeffery Farnol
2426,6605839,The Diary of a Man of Fifty,Henry James
2427,8144237,The Patagonia,Henry James
2429,18627281,Lost Face,Jack London
2432,5468810,Barchester Towers,Anthony Trollope
2435,787458,The Crimson Fairy Book,Andrew Lang
2436,2057446,The Marriages,Henry James
2440,1300003,The Naturalist on the River Amazons,Henry Walter Bates
2441,4660491,The Burgess Animal Book for Children,Thornton W. Burgess
2446,17342980,An Enemy of the People,Henrik Ibsen
2447,7094745,Eminent Victorians,Lytton Strachey
2449,8012964,The Common Law,Oliver Wendell Holmes Jr.
2451,2671397,Caught in the Net,Emile Gaboriau
2452,1468590,Shavings a Novel,Joseph Crosby Lincoln
2453,8293085,Beyond,John Galsworthy
2454,6064461,The Silent Bullet,Arthur B. Reeve
2462,25145065,Doña Perfecta,Benito Perez Galdos
2465,193856,Carmen,Prosper Merimee
2466,781627,Virgin Soil,Ivan Turgenev
2473,12384825,Mary-'Gusta,Joseph Crosby Lincoln
2480,2110433,Under Western Eyes,Joseph Conrad
2482,18655497,New York,James Fenimore Cooper
2485,18881497,The Movements and Habits of Climbing Plants,Charles Darwin
2489,18306730,"Moby-Dick; or, The Whale",Herman Melville
2490,8703751,Lamia,John Keats
2493,752923,The Adventures of Paddy the Beaver,Thornton W. Burgess
2496,438873,Our Village,Mary Russell Mitford
2497,8051517,Put Yourself in His Place,Charles Reade
2500,23945916,Siddharta,Hermann Hesse
2502,66415,Chitra - A Play in One Act,Rabindranath Tagore
2503,8694999,Myths and Legends of California and the Old Southwest,Katharine Berry Judson
2505,1383791,The Heir of Redclyffe,Charlotte Mary Yonge
2510,13599100,The Invention of a New Religion,Basil Hall Chamberlain
2511,14337298,"The History of Henry Esmond, Esq. - A Colonel in the Service of Her Majesty Queen Anne",William Makepeace Thackeray
2512,929774,The Cruise of the Snark,Jack London
2514,9253235,T. Tembarom,Frances Hodgson Burnett
2515,722737,Stepping Heavenward,Elizabeth Payson Prentiss
2517,7353961,Lincoln's Yarns and Stories: a complete collection of the funny and witty anecdotes that made Lincoln famous as America's greatest story teller,Alexander K. McClure
2518,7896518,The Hungry Stones and Other Stories,Rabindranath Tagore
2519,3557896,A Popular Account of Dr. Livingstone's Expedition to the Zambesi: And Its Tributaries and the Discovery of Lakes Shirwa and Nyassa 1858-1864,David Livingstone
2520,6718382,The Man,Bram Stoker
2521,25840016,Lizzie Leigh,Elizabeth Gaskell
2522,2935213,A Dark Night's Work,Elizabeth Gaskell
2523,19071728,The Memoirs of Victor Hugo,Victor Hugo
2524,2426638,My Lady Ludlow,Elizabeth Gaskell
2527,20349729,The Sorrows of Young Werther,Johann Wolfgang von Goethe
2529,51788,The Analysis of Mind,Bertrand Russell
2530,8573567,"The Malay Archipelago, Volume 1 : The Land of the Orang-utan and the Bird of Paradise; A Narrative of Travel, with Studies of Man and Nature",Alfred Russel Wallace
2531,6212965,An Accursed Race,Elizabeth Gaskell
2532,6059862,The Half-Brothers,Elizabeth Gaskell
2533,4727236,Round the Sofa,Elizabeth Gaskell
2534,7477774,Eugene Pickering,Henry James
2536,21800823,Amphitryon,Moliere
2537,22374822,The Pocket R.L.S.: Being Favourite Passages from the Works of Stevenson,Robert Louis Stevenson
2540,766963,Father and Son: A Study of Two Temperaments,Edmund Gosse
2541,11040692,Character,Samuel Smiles
2542,18875260,A Doll's House : a play,Henrik Ibsen
2543,1490175,Polyeucte,Pierre Corneille
2547,8044995,Half a Life-Time Ago,Elizabeth Gaskell
2548,16156339,The Poor Clare,Elizabeth Gaskell
2549,7734673,The Doom of the Griffiths,Elizabeth Gaskell
2553,6399071,Jeanne D'Arc; Her Life and Death,Mrs. Oliphant
2557,825750,Old Mother West Wind,Thornton W. Burgess
2562,2237755,The Clouds,Aristophanes
2565,3595627,The Story Of The Glittering Plain Which Has Been Also Called The Land Of Living Men Or The Acre Of The Undying,William Morris
2566,1521247,How to Fail in Literature: A Lecture,Andrew Lang
2571,1590,Peace,Aristophanes
2572,6356022,On the Decay of the Art of Lying,Mark Twain
2590,514689,Guy Mannering,Walter Scott
2591,17557901,Grimm's Fairy Tales,Jacob Grimm
2600,28010569,War and Peace,Leo Tolstoy
2602,4712088,Queen Sheba's Ring,H. Rider Haggard
2609,11237857,The Vicomte de Bragelonne,Alexandre Dumas
2610,7268650,Notre-Dame de Paris,Victor Hugo
2616,6055528,"Memoirs of General William T. Sherman, Volume 1",William T. Sherman
2618,20950668,A House-Boat on the Styx,John Kendrick Bangs
2638,15827124,The Idiot,Fyodor Dostoyevsky
2640,1774421,St. Martin's Summer,Rafael Sabatini
2663,11121558,Minna Von Barnhelm,Gotthold Ephraim Lessing
2664,11323204,Zanoni,Edward Bulwer-Lytton
2667,11506226,The Vicar of Wakefield,Oliver Goldsmith
2670,1188111,Love-Songs of Childhood,Eugene Field
2678,11212280,"Poems by Emily Dickinson, Series One",Emily Dickinson
2679,11212281,"Poems by Emily Dickinson, Series Two",Emily Dickinson
2680,22571551,Meditations,Marcus Aurelius
2683,4847837,Saint's Progress,John Galsworthy
2686,1367985,The Book Of Snobs,William Makepeace Thackeray
2687,1575988,The Snare,Rafael Sabatini
2688,854305,The Clue Of The Twisted Candle,Edgar Wallace
2693,2460663,Greyfriars Bobby,Eleanor Atkinson
2694,12601206,I and My Chimney,Herman Melville
2696,2472343,Elsie Venner,Oliver Wendell Holmes Sr.
2697,35312999,The Guardian Angel,Sr Oliver Wendell Holmes
2702,18983897,The Lion's Skin,Rafael Sabatini
2707,11085879,The history of Herodotus — Volume 1,Herodotus
2708,256052,Colomba,Prosper Merimee
2709,27725962,The Man Who Was Afraid,Maxim Gorky
2710,1090838,Louise De La Vallière,Alexandre Dumas
2713,1267284,Maiwa's Revenge: Or The War Of The Little Hand,H. Rider Haggard
2714,5306672,Long Live the King,Mary Roberts Rinehart
2716,6328716,Sir Dominick Ferrand,Henry James
2720,9586456,The Pension Beaurepas,Henry James
2721,723101,Eric Brighteyes,H. Rider Haggard
2722,1030195,Morning Star,H. Rider Haggard
2726,6378489,Eight Cousins,Louisa May Alcott
2727,75061,Allan's Wife,H. Rider Haggard
2728,19207864,Hunter Quatermain's Story,H. Rider Haggard
2729,9408195,A Tale of Three Lions,H. Rider Haggard
2731,4817283,The Christmas Books of Mr. M.A. Titmarsh,William Makepeace Thackeray
2736,1595603,The Champdoce Mystery,Emile Gaboriau
2759,6093366,The Man in the Iron Mask,Alexandre Dumas
2761,4712064,Benita: An African Romance,H. Rider Haggard
2763,4712040,The World's Desire,H. Rider Haggard
2765,12451602,The Lady from the Sea,Henrik Ibsen
2767,948728,The Devil's Paw,E. Phillips Oppenheim
2769,11763994,Cleopatra,H. Rider Haggard
2770,23445058,Five Litter Peppers and How They Grew,Margaret Sidney
2772,1339225,The Country House,John Galsworthy
2773,2944814,Fraternity,John Galsworthy
2774,29200431,The Patrician,John Galsworthy
2775,13634837,The Good Soldier,Ford Madox Ford
2776,2168736,The Four Million,O. Henry
2777,6120099,Cabbages and Kings,O. Henry
2781,22755547,Just So Stories,Rudyard Kipling
2782,18249822,Wilhelm Tell,Friedrich Schiller
2783,1877752,The Trampling of the Lilies,Rafael Sabatini
2785,7710533,The Elusive Pimpernel,Emmuska Orczy
2786,1106532,Jack and Jill,Louisa May Alcott
2787,24037545,An Old-fashioned Girl:,Louisa May Alcott
2788,6608630,Little Men,Louisa May Alcott
2795,1764595,Bob Son Of Battle,Alfred Ollivant
2798,6266362,The Queen of the Pirate Isle,Bret Harte
2802,1789032,Ramona,Helen Hunt Jackson
2803,781507,The Rise of David Levinsky,Abraham Cahan
2804,5668002,Rose in Bloom a Sequel to Eight Cousins,Louisa May Alcott
2806,17935419,The Phantom Rickshaw and Other Ghost Stories,Rudyard Kipling
2807,13448495,To Have and to Hold,Mary Johnston
2808,352613,Treatises on Friendship and Old Age,Marcus Tullius Cicero
2809,635241,Main-Travelled Roads,Hamlin Garland
2812,20901903,Letters of Marcus Tullius Cicero,Marcus Tullius Cicero
2813,19036283,The Grand Babylon Hotel,Arnold Bennett
2814,2148078,Dubliners,James Joyce
2815,621181,Democracy: An American Novel,Henry Adams
2816,277027,The City of the Sun,Tommaso Campanella
2817,556967,Chamber Music,James Joyce
2818,519125,Beautiful Joe,Marshall Saunders
2819,10455702,Barrack-room Ballads,Rudyard Kipling
2821,9733839,The Story of the Gadsby,Rudyard Kipling
2828,3243798,Under The Deodars,Rudyard Kipling
2830,34681515,Reginald,Saki
2833,17825854,"The Portrait of a Lady, Volume 1",Henry James
2834,18310936,"The Portrait of a Lady , Volume 2",Henry James
2841,696070,The Ivory Child,H. Rider Haggard
2845,1628137,Sir Nigel,Arthur Conan Doyle
2848,8834587,The Antiquities of the Jews,Flavius Josephus
2849,2286757,Against Apion,Flavius Josephus
2850,2410446,"The Wars of the Jews; or, History of the Destruction of Jerusalem",Flavius Josephus
2851,17942924,Sixes and Sevens,O. Henry
2852,24548849,The Hounds of the Baskervilles,Arthur Conan Doyle
2853,11745286,Quo Vadis: A Narrative of the Time of Nero,Henryk Sienkiewicz
2857,2025003,The Yellow God: An Idol of Africa,H. Rider Haggard
2860,2911247,Framley Parsonage,Anthony Trollope
2861,2095156,The Sleuth of St. James's Square,Melville Davisson Post
2863,132879,Satires of Circumstances: Lyrics and Reveries with Miscellaneous Pieces,Thomas Hardy
2864,1128994,The Trumpet-Major,Thomas Hardy
2865,1003404,Otto of the Silver Hand,Howard Pyle
2866,3110078,Windsor Castle,William Harrison Ainsworth
2868,14333862,The Green Mummy,Fergus Hume
2870,10501435,Washington Square,Henry James
2874,35965125,The Personal Recollections of Joan of Arc (Volume 1),Mark Twain
2876,7343515,The Light That Failed,Rudyard Kipling
2883,7143128,The Gold Bag,Carolyn Wells
2893,1681377,The Wizard,H. Rider Haggard
2895,494164,Following the Equator: A Journey Around the World,Mark Twain
2906,3153226,The Silver Box: A Comedy in Three Acts,John Galsworthy
2911,2989553,Justice,John Galsworthy
2920,19484458,Four Short Plays,John Galsworthy
2927,6627810,The Darwinian Hypothesis,Thomas Henry Huxley
2932,20984659,On the Relations of Man to the Lower Animals,Thomas Henry Huxley
2938,8528509,Yeast,Thomas Henry Huxley
2942,1108883,Two Penniless Princesses,Charlotte Mary Yonge
2944,1766621,"Essays, First Series",Ralph Waldo Emerson
2950,6824012,The Midnight Queen,May Agnes Fleming
2992,20403296,The Middle-Class Gentleman,Moliere
3006,45060,Stalky & Co.,Rudyard Kipling
3007,8139699,The Smoky God: Or a Voyage to the Inner World,Willis George Emerson
3011,12767,The Lady of the Lake,Walter Scott
3012,303863,The Acharnians,Aristophanes
3013,4834175,The Birds,Aristophanes
3016,25153786,What Diantha Did,Charlotte Perkins Gilman
3021,8860993,A Boy's Will,Robert Frost
3023,86891,"Faust, Part 1",Johann Wolfgang von Goethe
3026,7341343,North of Boston,Robert Frost
3027,543163,The Orange Fairy Book,Andrew Lang
3028,1478464,The Peterkin Papers,Lucretia P. Hale
3030,2081806,The Tavern Knight,Rafael Sabatini
3031,22026919,Wild Animals I Have Known,Ernest Thompson Seton
3033,10013151,The Passing of the Frontier: A Chronicle of the Old West,Emerson Hough
3044,29610791,Desperate Remedies,Thomas Hardy
3045,28537642,The Last Chronicle of Barset,Anthony Trollope
3046,8680475,The Land of the Changing Sun,William N. Harben
3047,12866181,Life's Little Ironies: A Set of Tales; With Some Colloquial Sketches Entitled a Few Crusted Characters,Thomas Hardy
3048,1046747,The Little Duke Or Richard The Fearless,Charlotte Mary Yonge
3049,1306637,A Group of Noble Dames,Thomas Hardy
3055,8124156,The Wood Beyond the World,William Morris
3056,826901,Wessex Tales,Thomas Hardy
3067,1613105,Hard Cash,Charles Reade
3069,3983882,The Great Boer War,Arthur Conan Doyle
3071,8149610,The Golden Slipper and Other Problems for Violet Strange,Anna Katharine Green
3072,18898256,Andersonville A Story of Rebel Military Prisons,John McElroy
3074,8801,The Burgess Bird Book for Children,Thornton W. Burgess
3075,837413,The Return,Walter de la Mare
3076,23435675,Ten Days that Shook the World,John   Reed
3091,2043261,Eight Hundred Leagues on the Amazon,Jules Verne
3094,9627811,Red Eve,H. Rider Haggard
3095,35820,The Lady of the Shroud,Bram Stoker
3097,552002,The Wanderer's Necklace,H. Rider Haggard
3099,10358278,The Old Merchant Marine: A Chronicle of American Ships and Sailors,Ralph D. Paine
3135,95109,My Summer in a Garden,Charles Dudley Warner
3139,3030579,The Dove in the Eagle's Nest,Charlotte Mary Yonge
3140,9914371,Idle Ideas in 1905,Jerome K. Jerome
3145,25566118,The Author Of Beltraffio,Henry James
3146,525152,Two on a Tower,Thomas Hardy
3149,8267622,Marm Lisa,Kate Douglas Wiggin
3153,6328821,The Virgin of the Sun,H. Rider Haggard
